Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2009	225	Tokyo-Nokogen	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	193	Tokyo_Tech	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	192	TorontoMaRSDiscovery	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	189	Tsinghua	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	229	TzuChiU_Formosa	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	248	UAB-Barcelona						
2009	239	UCL_London	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	209	UCSF	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	265	UC_Davis	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	268	UChicago						
2009	196	ULB-Brussels	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	250	UNC_Chapel_Hill						
2009	284	UNICAMP-Brazil	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	173	UNIPV-Pavia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	205	UQ-Australia	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	176	USTC	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	183	USTC_Software	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	273	Uppsala-Sweden	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	208	Utah_State	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	222	Valencia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	235	VictoriaBC	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	254	Victoria_Australia						
2009	231	Virginia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	264	Virginia_Commonwealth	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	177	Warsaw	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	227	Wash_U	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	215	Washington	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	253	Washington-Software	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	241	Waterloo	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	220	Wisconsin-Madison	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	219	Yeshiva_NYC						
